trade_date,portfolio_return,scheme
2023-07-19,-0.0022864322795496327,Inertia(2.0σ)
2023-07-20,-0.0035285507196269367,Inertia(2.0σ)
2023-07-21,-0.0012751986072889077,Inertia(2.0σ)
2023-07-24,0.0029296874114948263,Inertia(2.0σ)
2023-07-25,0.002794966351196108,Inertia(2.0σ)
2023-07-26,0.0020038747941675335,Inertia(2.0σ)
2023-07-27,-0.0015255242804635082,Inertia(2.0σ)
2023-07-28,0.00620867278801347,Inertia(2.0σ)
2023-07-31,0.004537789508050061,Inertia(2.0σ)
2023-08-02,-0.004489155573555736,Inertia(2.0σ)
2023-08-03,0.0018614170082525527,Inertia(2.0σ)
2023-08-04,0.0011526841236600082,Inertia(2.0σ)
2023-08-07,-0.00656435209371767,Inertia(2.0σ)
2023-08-08,-0.00014580291444085496,Inertia(2.0σ)
2023-08-09,-0.001908946773403845,Inertia(2.0σ)
2023-08-10,0.0009410231122179092,Inertia(2.0σ)
2023-08-11,-0.002477795838168377,Inertia(2.0σ)
2023-08-14,-0.002570042677353205,Inertia(2.0σ)
2023-08-15,0.0011276032259224542,Inertia(2.0σ)
2023-08-16,-0.002967145259478195,Inertia(2.0σ)
2023-08-17,0.0025016913686875717,Inertia(2.0σ)
2023-08-18,-0.008461471684713095,Inertia(2.0σ)
2023-08-21,-0.004190217308904986,Inertia(2.0σ)
2023-08-22,-0.005794649840431061,Inertia(2.0σ)
2023-08-23,-0.007429176900867795,Inertia(2.0σ)
2023-08-24,-0.005706923344541178,Inertia(2.0σ)
2023-08-25,-0.009707714833874092,Inertia(2.0σ)
2023-08-28,0.010170659544688477,Inertia(2.0σ)
2023-08-29,0.015183515606295146,Inertia(2.0σ)
2023-08-30,-0.00024894125986875496,Inertia(2.0σ)
2023-08-31,0.0001094094635921324,Inertia(2.0σ)
2023-09-04,0.0518854908245779,Inertia(2.0σ)
2023-09-05,-0.011599274416941958,Inertia(2.0σ)
2023-09-06,-0.0009492917267515555,Inertia(2.0σ)
2023-09-07,-0.010643184555814573,Inertia(2.0σ)
2023-09-08,-0.0002976205906191076,Inertia(2.0σ)
2023-09-11,0.007245166222198314,Inertia(2.0σ)
2023-09-12,0.0018917811773332257,Inertia(2.0σ)
2023-09-13,-0.0007168191071534435,Inertia(2.0σ)
2023-09-14,0.0043524834593485036,Inertia(2.0σ)
2023-09-15,0.0022794898141964043,Inertia(2.0σ)
2023-09-18,-0.003829032909093629,Inertia(2.0σ)
2023-09-19,0.0010482560139501995,Inertia(2.0σ)
2023-09-20,-0.00721745556639876,Inertia(2.0σ)
2023-09-21,-0.0014510841053996396,Inertia(2.0σ)
2023-09-22,0.0031646896264860614,Inertia(2.0σ)
2023-09-25,-0.00883554075147602,Inertia(2.0σ)
2023-09-26,-0.004082396269995055,Inertia(2.0σ)
2023-09-27,0.0020473879857779266,Inertia(2.0σ)
2023-09-28,0.007057985240386144,Inertia(2.0σ)
2023-10-10,-0.004974617831204127,Inertia(2.0σ)
2023-10-11,0.0014313682361732694,Inertia(2.0σ)
